13514300000: 135143: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001000 addi                ra, 0, 0          ra=00000000 
13514300000: 135143: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001000 addi                ra, 0, 0          ra=00000000 
13514400000: 135144: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001004 addi                sp, 0, 0          sp=00000000 
13514400000: 135144: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001004 addi                sp, 0, 0          sp=00000000 
13514500000: 135145: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001008 addi                gp, 0, 0          gp=00000000 
13514500000: 135145: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001008 addi                gp, 0, 0          gp=00000000 
13514600000: 135146: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 0000100c addi                tp, 0, 0          tp=00000000 
13514600000: 135146: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 0000100c addi                tp, 0, 0          tp=00000000 
13514700000: 135147: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001010 addi                t0, 0, 0          t0=00000000 
13514700000: 135147: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001010 addi                t0, 0, 0          t0=00000000 
13514800000: 135148: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001014 addi                t1, 0, 0          t1=00000000 
13514800000: 135148: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001014 addi                t1, 0, 0          t1=00000000 
13514900000: 135149: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001018 addi                t2, 0, 0          t2=00000000 
13514900000: 135149: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001018 addi                t2, 0, 0          t2=00000000 
13515000000: 135150: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 0000101c addi                s0, 0, 0          s0=00000000 
13515000000: 135150: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 0000101c addi                s0, 0, 0          s0=00000000 
13515100000: 135151: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001020 addi                s1, 0, 0          s1=00000000 
13515100000: 135151: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001020 addi                s1, 0, 0          s1=00000000 
13515200000: 135152: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001024 addi                a0, 0, 0          a0=00000000 
13515200000: 135152: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001024 addi                a0, 0, 0          a0=00000000 
13515300000: 135153: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001028 addi                a1, 0, 0          a1=00000000 
13515300000: 135153: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001028 addi                a1, 0, 0          a1=00000000 
13515400000: 135154: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 0000102c addi                a2, 0, 0          a2=00000000 
13515400000: 135154: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 0000102c addi                a2, 0, 0          a2=00000000 
13515500000: 135155: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001030 addi                a3, 0, 0          a3=00000000 
13515500000: 135155: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001030 addi                a3, 0, 0          a3=00000000 
13515600000: 135156: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001034 addi                a4, 0, 0          a4=00000000 
